,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
100,0.73673975,0.6777825,0.538373,0.5653352,0.6083598,0.61243296,1.0000002,2020-02-15
101,0.74853224,0.69127893,0.6127031,0.6021093,0.6552931,0.6427692,1.0,2020-03-13
102,0.7764692,0.72901946,0.614099,0.59405506,0.64583397,0.64014745,1.0,2020-02-21
103,0.74389964,0.70033205,0.596478,0.5898929,0.6452846,0.6337279,1.0,2020-01-19
104,0.7283889,0.68438625,0.5830196,0.6045842,0.65954244,0.6358691,1.0,2020-02-10
105,0.7569053,0.71552783,0.6510097,0.62202287,0.6741883,0.6687944,0.9999999,2019-11-26
106,0.76175165,0.7249616,0.6058855,0.60757667,0.6627724,0.66155124,1.0,2020-03-12
107,0.7439321,0.6979549,0.5857898,0.61527,0.6444865,0.63762975,0.99999976,2019-11-25
108,0.7519492,0.7167098,0.5804452,0.6039705,0.6547215,0.6605125,0.9999998,2019-11-24
109,0.7826429,0.7378719,0.6408564,0.6276001,0.6779812,0.6736977,0.99999994,2020-03-15
110,0.742175,0.7040229,0.58810353,0.5911345,0.6466462,0.64993775,1.0,2020-03-14
111,0.7692983,0.726365,0.6292571,0.632133,0.679929,0.6756456,0.9999999,2019-11-23
112,0.7299915,0.6700043,0.5547533,0.5501561,0.604349,0.6003406,1.0000001,2020-02-15
113,0.747627,0.70990884,0.6038816,0.6025671,0.678031,0.6654026,0.99999994,2020-03-13
114,0.7525341,0.703299,0.5931847,0.6068957,0.6512066,0.64280087,1.0,2020-02-21
115,0.73727006,0.68755853,0.5764693,0.6127275,0.65309274,0.67817,1.0000001,2020-01-19
116,0.7243731,0.6791184,0.5720289,0.61277926,0.66159815,0.639479,0.9999999,2020-02-10
117,0.73841256,0.6870624,0.61190844,0.5796572,0.6256189,0.613823,0.99999994,2019-11-26
118,0.7618655,0.7410194,0.6276402,0.6318693,0.68340504,0.68385637,0.9999998,2020-03-12
119,0.73852074,0.6963496,0.59988916,0.5996435,0.6588528,0.6472825,1.0,2019-11-25
120,0.76886207,0.7289279,0.6479063,0.64546096,0.68426967,0.6912848,1.0,2019-11-24
121,0.73515266,0.6931814,0.5997901,0.61624014,0.6518547,0.64279354,0.99999994,2020-03-15
122,0.75690866,0.70443213,0.66269195,0.60993063,0.65550196,0.6408778,0.9999999,2020-03-14
123,0.7415472,0.6938137,0.57006425,0.56454754,0.6211353,0.6156473,0.9999999,2019-11-23
124,0.73236704,0.69276285,0.5710243,0.59304553,0.62437165,0.6359544,1.0000001,2020-02-15
125,0.7419251,0.70212895,0.58386916,0.607618,0.65839267,0.6357756,1.0000002,2020-03-13
126,0.76413584,0.7252964,0.6237601,0.6109554,0.6550324,0.6505394,1.0,2020-02-21
127,0.74394035,0.6784277,0.554608,0.57224095,0.6226357,0.6188695,1.0000002,2020-01-19
128,0.71984696,0.67317,0.5778065,0.5972662,0.640833,0.61914194,1.0000002,2020-02-10
129,0.7347208,0.6859913,0.56640816,0.57194954,0.62601113,0.6423061,0.99999976,2019-11-26
130,0.7418686,0.6925316,0.56764424,0.59984004,0.6457137,0.62500376,1.0,2020-03-12
131,0.75610363,0.7168601,0.6215378,0.6370543,0.67187864,0.6589793,1.0,2019-11-25
132,0.77707493,0.72757185,0.6107086,0.6051464,0.66244876,0.6532333,1.0,2019-11-24
133,0.7291076,0.6934542,0.584756,0.56298494,0.6142006,0.6101775,1.0000002,2020-03-15
134,0.76606214,0.72399175,0.60337186,0.6246182,0.65526867,0.65222275,1.0,2020-03-14
135,0.7272131,0.6923176,0.57374954,0.5709456,0.6249374,0.61761403,0.9999999,2019-11-23
136,0.74280417,0.68255085,0.56640035,0.5682571,0.62132895,0.6118438,1.0000001,2020-02-15
137,0.73288286,0.68487334,0.58143806,0.6117599,0.6415494,0.6238796,0.99999994,2020-03-13
138,0.7219651,0.6910075,0.57362944,0.607646,0.6713066,0.64665854,0.99999994,2020-02-21
139,0.73011184,0.6954552,0.599585,0.60002095,0.65925896,0.65976834,1.0,2020-01-19
140,0.76922953,0.72239953,0.60381794,0.61165464,0.6630281,0.66306436,1.0000001,2020-02-10
141,0.76698303,0.7180487,0.63067603,0.6332816,0.6747795,0.6670427,0.99999994,2019-11-26
142,0.7412772,0.7002901,0.55998254,0.6016507,0.6471309,0.6425711,0.9999999,2020-03-12
143,0.7529668,0.7158543,0.631199,0.65009475,0.6867477,0.6763,0.9999999,2019-11-25
