,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
5396,0.3035487,0.35364258,0.29547334,0.34387523,0.30100486,0.28177816,0.3479531,2020-01-01
5397,0.25109428,0.26690608,0.24563831,0.25032791,0.29252532,0.21518235,0.26108667,2020-03-01
5398,0.29713404,0.29257852,0.3296877,0.28981298,0.27926862,0.28596085,0.30692255,2020-03-29
5399,0.2565887,0.24351528,0.2777657,0.28032506,0.2997895,0.2538551,0.2963895,2020-03-08
5400,0.37826157,0.37978798,0.3783679,0.39410707,0.39231634,0.33814698,0.39653885,2020-01-23
5401,0.48587373,0.41169924,0.47198683,0.43247205,0.4225952,0.41098106,0.44668323,2020-01-24
5402,0.35042223,0.33669293,0.33758146,0.35078526,0.37071598,0.32386965,0.36943448,2020-03-06
5403,0.35841793,0.3454631,0.36878318,0.3626401,0.34375465,0.32465672,0.37206155,2019-11-04
5404,0.7131336,0.7112127,0.74275196,0.6931263,0.7099884,0.6506302,0.7385412,2019-12-10
5405,0.2895308,0.23773468,0.2713968,0.27278495,0.25821343,0.27796906,0.29026234,2020-01-06
5406,0.22764036,0.23237629,0.2547772,0.22765231,0.24671459,0.1691181,0.24134046,2020-02-01
5407,0.24958535,0.23125148,0.26925233,0.28808272,0.2489964,0.24631354,0.27540857,2020-01-01
5408,0.4076467,0.39023748,0.3883978,0.41565114,0.40394926,0.40913162,0.434653,2020-03-01
5409,0.36017436,0.3669659,0.3621493,0.33583352,0.353201,0.35297638,0.37073782,2020-02-04
5410,0.6006733,0.5682045,0.59891677,0.6004899,0.56214297,0.52203774,0.60086703,2020-03-29
5411,0.52196187,0.52330506,0.50112814,0.50681025,0.53457856,0.5232616,0.52003276,2020-03-08
5412,0.4856612,0.45990938,0.45690957,0.4388168,0.45374167,0.3980859,0.4465509,2020-01-23
5413,0.32155675,0.32280824,0.33160722,0.32247648,0.31979364,0.31704122,0.364784,2020-01-24
5414,0.25220144,0.2474704,0.22111589,0.23431727,0.20588349,0.21603367,0.24728669,2020-03-06
5415,0.82802093,0.8164046,0.8264586,0.8064704,0.8037763,0.7474605,0.8306355,2019-11-04
5416,0.72361076,0.7186564,0.7137612,0.6923202,0.6840348,0.65669,0.7184758,2019-12-10
5417,0.34396246,0.30061227,0.31732106,0.3195077,0.33642763,0.2943388,0.3242216,2020-01-06
5418,0.27269968,0.27192903,0.3013516,0.25702068,0.30372596,0.1990096,0.27866256,2020-02-01
5419,0.30881095,0.27846122,0.2795646,0.32017815,0.27442706,0.29528016,0.30518648,2020-01-01
5420,0.2194489,0.26172325,0.24075887,0.22022197,0.23681065,0.22686651,0.23890358,2020-03-01
5421,0.31407008,0.30687624,0.34958613,0.34008086,0.34021002,0.31915212,0.32985592,2020-02-04
5422,0.3849973,0.35871464,0.3554388,0.37455714,0.41795182,0.36387002,0.38391912,2020-03-29
5423,0.24748164,0.23039809,0.25188035,0.258795,0.2368212,0.20681499,0.28991532,2020-03-08
5424,0.73316276,0.72144157,0.7114925,0.70295024,0.7204994,0.631259,0.7418385,2020-01-23
5425,0.299142,0.3104872,0.30784053,0.299685,0.27429652,0.29430273,0.33264798,2020-01-24
5426,0.3161588,0.33328387,0.36341432,0.37125558,0.34791058,0.30776018,0.36156595,2020-03-06
5427,0.42670992,0.4438867,0.4691673,0.43219942,0.43758106,0.43981236,0.4729467,2019-11-04
5428,0.6601625,0.62200344,0.63556045,0.647329,0.6594852,0.5970036,0.6606188,2019-12-10
5429,0.7957459,0.7616427,0.7787386,0.7698971,0.77680266,0.7118895,0.797941,2020-01-06
5430,0.8857027,0.8571198,0.86382306,0.8371961,0.8439847,0.77885735,0.8771525,2020-02-01
5431,0.41660294,0.4000755,0.3981418,0.3856799,0.38124448,0.35271358,0.41806728,2020-01-01
5432,0.28979886,0.31225568,0.29547262,0.31591943,0.3152527,0.31567293,0.32179993,2020-03-01
5433,0.32857412,0.31318688,0.35522738,0.30993977,0.35695687,0.30701566,0.353044,2020-02-04
5434,0.22071573,0.23720431,0.17884055,0.23923582,0.23789626,0.20464602,0.20504707,2020-03-29
5435,0.28878355,0.25871965,0.3130347,0.2589526,0.26163664,0.27022415,0.3041464,2020-03-08
5436,0.7679712,0.748502,0.7844505,0.7573569,0.7415894,0.7082158,0.78138614,2020-01-23
5437,0.81151056,0.7684368,0.7932758,0.80001485,0.78012705,0.7256708,0.814976,2020-01-24
5438,0.81504,0.8001013,0.7897535,0.7733557,0.77351236,0.73512334,0.82405365,2020-03-06
5439,0.32806122,0.32671902,0.30960494,0.27385753,0.29513448,0.24976555,0.30635452,2019-11-04
5440,0.30954114,0.29792696,0.29041004,0.37568116,0.3539646,0.30388355,0.30836198,2019-12-10
5441,0.27874207,0.2825851,0.30747145,0.29668903,0.3210569,0.32471877,0.29290313,2020-01-06
5442,0.27746496,0.27788216,0.26921073,0.21635377,0.2867816,0.23391853,0.31442133,2020-02-01
5443,0.2847528,0.2959965,0.30585313,0.2893627,0.2797911,0.29924873,0.30011356,2020-01-01
5444,0.3184693,0.29678762,0.33205408,0.28778988,0.28718722,0.3045665,0.30218273,2020-03-01
5445,0.3440099,0.3569013,0.37068146,0.34037054,0.3724426,0.35318702,0.3596035,2020-02-04
5446,0.3247962,0.32287723,0.3595168,0.32279968,0.33997232,0.275326,0.3274226,2020-03-29
5447,0.22047596,0.23145536,0.24831606,0.23906279,0.24796024,0.24703148,0.276464,2020-03-08
5448,0.33173978,0.3707222,0.32219613,0.306021,0.39404833,0.30043966,0.33401722,2020-01-23
5449,0.7180263,0.7250594,0.7474297,0.71778387,0.7334285,0.6797693,0.764716,2020-01-24
5450,0.3180102,0.29731128,0.30275515,0.2982002,0.30678862,0.28043306,0.3465826,2020-03-06
5451,0.7204093,0.70339084,0.68879116,0.71483314,0.6752088,0.6487495,0.708598,2019-11-04
5452,0.3329355,0.31804022,0.35253873,0.33458558,0.3081874,0.30527535,0.33417076,2019-12-10
5453,0.31532633,0.3144261,0.30045724,0.3053766,0.32370967,0.24469636,0.3289696,2020-01-06
5454,0.47740424,0.476402,0.47977853,0.46128362,0.42760637,0.44890496,0.46591297,2020-02-01
5455,0.3200841,0.31411827,0.27394634,0.2791391,0.26388228,0.2485356,0.29799733,2020-01-01
5456,0.40280777,0.40854275,0.40422153,0.3621989,0.39878443,0.3170982,0.39555776,2020-03-01
5457,0.6127797,0.5682229,0.6081753,0.58903825,0.6112808,0.5560948,0.5741331,2020-03-29
5458,0.29811162,0.34482485,0.3442064,0.32114264,0.30674368,0.30336535,0.30803496,2020-03-08
5459,0.7834277,0.7757276,0.77484554,0.7736033,0.7515809,0.70712334,0.78202057,2020-01-23
5460,0.40514216,0.37661242,0.38649645,0.3990639,0.3797261,0.36522192,0.37002447,2020-01-24
5461,0.8101605,0.7894064,0.7922195,0.7873833,0.7774344,0.7264736,0.79847705,2020-03-06
5462,0.46888775,0.44257224,0.47041902,0.4067917,0.44519824,0.36262554,0.44926286,2019-11-04
5463,0.34173784,0.2891822,0.34786552,0.34456125,0.31798223,0.25894654,0.3772378,2019-12-10
5464,0.372509,0.33608183,0.3635683,0.35254404,0.319612,0.3107264,0.38463694,2020-01-06
5465,0.35662192,0.37683153,0.3761125,0.3920191,0.3565097,0.3728981,0.38332134,2020-02-01
5466,0.36893332,0.37240073,0.3605306,0.36302832,0.3283825,0.33671203,0.37815922,2020-01-01
5467,0.31850138,0.32065827,0.2806213,0.32743204,0.28224644,0.3486802,0.31690586,2020-02-04
5468,0.3214821,0.29352593,0.2902368,0.31097537,0.30205685,0.30606508,0.3168046,2020-03-01
5469,0.43029442,0.41638756,0.40346205,0.3911181,0.41452628,0.39936835,0.43541875,2020-03-29
5470,0.22341521,0.30905458,0.27353215,0.32037443,0.3011009,0.29426286,0.2880073,2020-03-08
5471,0.763721,0.7549312,0.7542488,0.72452646,0.7426202,0.7047591,0.7771991,2020-01-23
5472,0.2607651,0.2605595,0.2759363,0.23946705,0.27449316,0.22315498,0.2915699,2020-01-24
5473,0.33132142,0.30396053,0.331066,0.29659557,0.28821895,0.303496,0.31895787,2020-03-06
5474,0.3298933,0.31861025,0.30775893,0.27429008,0.2948923,0.2478463,0.30588257,2019-11-04
5475,0.2951439,0.27359062,0.29498473,0.24948986,0.26347816,0.24984223,0.32776523,2019-12-10
5476,0.43612775,0.3961701,0.40713444,0.39914095,0.40375376,0.39021763,0.40299585,2020-01-06
5477,0.2734872,0.2349068,0.29499233,0.28423974,0.29433984,0.28684953,0.29981458,2020-02-01
5478,0.37549758,0.36872187,0.3464092,0.36433452,0.3615855,0.3177679,0.3834749,2020-01-01
5479,0.30380157,0.34554565,0.29659566,0.35811555,0.34309185,0.31817704,0.3436411,2020-02-04
5480,0.32179654,0.32053363,0.3309868,0.34712002,0.34472942,0.2821059,0.3411379,2020-03-01
5481,0.3633194,0.37568438,0.32313448,0.3214467,0.37080526,0.3037362,0.3184091,2020-03-29
5482,0.28849098,0.25076604,0.24870937,0.25702685,0.27672398,0.2735135,0.3087808,2020-03-08
5483,0.35572934,0.318907,0.3668875,0.34327745,0.32211468,0.2934805,0.34579307,2020-01-23
5484,0.3014317,0.30977726,0.3084146,0.29770362,0.27350262,0.30288824,0.33240843,2020-01-24
5485,0.6685512,0.62958604,0.66183543,0.62335956,0.6462774,0.6956934,0.6373117,2020-03-06
5486,0.33146924,0.33001313,0.31315207,0.27251178,0.30030888,0.25224024,0.30824435,2019-11-04
5487,0.34290868,0.31749606,0.32154745,0.2780126,0.32862863,0.31067178,0.36035162,2019-12-10
5488,0.502614,0.45406112,0.46883374,0.45960164,0.45185357,0.41373366,0.49773508,2020-01-06
5489,0.7460797,0.74062985,0.7467154,0.74468267,0.7194016,0.6830385,0.751182,2020-02-01
5490,0.35393596,0.36985686,0.35826632,0.36696002,0.35398448,0.3693583,0.36277407,2020-01-01
5491,0.74111724,0.7316127,0.7229997,0.73057103,0.72041583,0.6567522,0.7488246,2020-02-04
5492,0.36183468,0.3765819,0.36521566,0.35462677,0.40568203,0.33854836,0.3757009,2020-03-01
5493,0.3413109,0.3509174,0.38060942,0.37425405,0.35164598,0.36728504,0.377997,2020-03-29
5494,0.28952515,0.2717391,0.27392673,0.28291076,0.29918608,0.24253435,0.30671737,2020-03-08
5495,0.31967765,0.330566,0.32805604,0.30161965,0.30907542,0.3111217,0.33488366,2020-01-23
5496,0.3975832,0.37936735,0.3707185,0.34372187,0.38438424,0.288576,0.3801216,2020-01-24
5497,0.37556338,0.39817843,0.38791472,0.36252674,0.34950778,0.34753695,0.37716055,2020-03-06
5498,0.28782776,0.2382102,0.27581745,0.25594944,0.29083002,0.2748617,0.26259956,2019-11-04
5499,0.28100252,0.25130996,0.29280543,0.27113634,0.27885598,0.22700332,0.3032069,2019-12-10
5500,0.30983293,0.3333521,0.35628888,0.29057717,0.3075331,0.26911163,0.3347863,2020-01-06
5501,0.300185,0.28333497,0.25392756,0.30557615,0.2606928,0.26863164,0.2825867,2020-02-01
5502,0.26736888,0.24245799,0.30679268,0.27611205,0.2407206,0.23493841,0.29190412,2020-01-01
5503,0.30589032,0.32577902,0.33673954,0.34542432,0.35532057,0.33159575,0.34874982,2020-02-04
5504,0.30018678,0.25346392,0.3270428,0.27793053,0.32764006,0.26035148,0.29237527,2020-03-01
5505,0.36134946,0.3474991,0.36709812,0.38447317,0.37429583,0.34777603,0.37978023,2020-03-29
5506,0.2897408,0.29112136,0.30920798,0.29013807,0.2764287,0.2998132,0.28998536,2020-03-08
5507,0.3450761,0.37771213,0.35876727,0.35904792,0.36176774,0.31192607,0.38259062,2020-01-23
5508,0.30051368,0.29721892,0.31258434,0.28587607,0.30040807,0.2423368,0.33056745,2020-01-24
5509,0.34907433,0.4092113,0.3659397,0.3778208,0.38864985,0.3177249,0.36458105,2020-03-06
5510,0.29163682,0.28462836,0.33189017,0.28598833,0.28652877,0.27234596,0.32201153,2019-11-04
5511,0.3999858,0.38622582,0.3750314,0.35300738,0.38680586,0.30237073,0.40726218,2019-12-10
5512,0.31628045,0.30508783,0.3193563,0.35148543,0.33648378,0.3166421,0.3418107,2020-01-06
5513,0.359178,0.33742005,0.363802,0.34079492,0.34352627,0.35837138,0.35861477,2020-02-01
5514,0.6081048,0.58602196,0.6185227,0.5948344,0.6173898,0.53088945,0.62560225,2020-01-01
5515,0.33974963,0.35406223,0.34615666,0.33292198,0.3487035,0.2945317,0.34914225,2020-03-01
5516,0.34768572,0.36831164,0.39350033,0.38023308,0.38707817,0.31314954,0.37851268,2020-03-29
5517,0.31861934,0.29707313,0.28386974,0.2951957,0.28649145,0.30126107,0.2903539,2020-03-08
5518,0.33900478,0.32165098,0.35256532,0.31894135,0.28405413,0.29562736,0.36115897,2020-01-23
5519,0.3110398,0.2881134,0.2934134,0.3234008,0.29665592,0.28435844,0.3071566,2020-01-24
5520,0.5193418,0.46511436,0.51772094,0.4979661,0.4972142,0.45997572,0.51130456,2020-03-06
5521,0.33406276,0.34087417,0.3764001,0.32284313,0.31547904,0.30833596,0.37338054,2019-11-04
5522,0.3071617,0.31106353,0.27655777,0.31736022,0.3107106,0.28974095,0.28807148,2019-12-10
5523,0.37029046,0.33716944,0.36455518,0.3472758,0.32433885,0.31294575,0.38200867,2020-01-06
5524,0.25843984,0.23560566,0.29745865,0.2920225,0.26948756,0.22712736,0.29385844,2020-02-01
5525,0.36530948,0.3692854,0.35378626,0.3341396,0.31833714,0.32081074,0.36909038,2020-02-04
5526,0.29579562,0.31417432,0.3542607,0.33560172,0.34284896,0.28621083,0.31575605,2020-01-01
5527,0.28655025,0.26325577,0.31515008,0.289945,0.26716924,0.2693256,0.2936269,2020-03-01
5528,0.28817827,0.30395895,0.31346047,0.310266,0.2654456,0.24390206,0.33549917,2020-03-29
5529,0.28904477,0.31678826,0.3078764,0.3156923,0.30179968,0.27490938,0.30531472,2020-03-08
5530,0.2205483,0.2273337,0.24365844,0.22455253,0.2418456,0.25478476,0.22879897,2020-01-23
5531,0.21780798,0.231267,0.28485397,0.2185623,0.22538364,0.24655771,0.26188204,2020-01-24
5532,0.26250702,0.29683822,0.2582754,0.26652706,0.2951383,0.23626886,0.30399066,2020-03-06
5533,0.33746445,0.33870277,0.3075093,0.26874834,0.2629465,0.26832685,0.32646173,2019-11-04
